term	sentiment
amusement	0.313295
amusing	0.533611111
amusingly	0.432664444
anal	-0.377777778
analytical	0.01825
anarchy	-0.422222222
ancient	-0.066666667
anemic	-0.438257778
angel	0.653332222
angelic	0.683148889
anger	-0.571909167
angrily	-0.448878889
angry	-0.109019195
angst	-0.314337778
anguish	-0.624029167
anguished	-0.591962222
animosity	-0.519416667
annihilate	-0.6
annihilation	-0.679888889
annoy	-0.283333333
annoyance	-0.407550833
annoyed	-0.447533333
annoying	-0.582261667
annoyingly	-0.488292222
anomaly	-0.195107778
another	-0.004155124
answer	0.014582783
antagonistic	-0.399511667
antagonize	-0.411524444
anticipate	0.136623333
anticipation	0.100913333
anticlimactic	-0.275544444
anticlimax	-0.244444444
antipathy	-0.477745556
antique	0.177777778
anxiety	-0.011221625
anxious	-0.003555237
anxiously	-0.244444444
anyone	-0.002785556
anything	-0.026333571
anyway	-0.002174477
apathetic	-0.403287778
apathy	-0.414950833
apocalypse	-0.584325556
apocalyptic	-0.536659167
apologetic	0.054366667
apologetically	-0.125134444
apologize	-0.05849
apology	0.03777
appall	-0.442425556
appalled	-0.503046667
appalling	-0.7223975
appallingly	-0.555555556
apparent	-0.07018
appealing	0.410592222
appease	0.21836
applaud	0.283333333
applause	0.525218889
appreciate	0.428495833
appreciation	0.521136667
appreciative	0.596128889
apprehension	-0.249327778
apprehensive	-0.386183333
apprehensively	-0.244444444
appropriate	0.288888889
appropriately	0.297087778
approval	0.375767778
approve	0.426607778
apt	0.412542222
aptitude	0.425155556
aptly	0.414975556
arbitrarily	-0.073913333
arbitrary	-0.244444444
ardent	0.175164444
argue	-0.177777778
argument	-0.393077778
around	-0.002533598
arrest	-0.244444444
arresting	0.244444444
arrogance	-0.643125556
arrogant	-0.577541667
arrogantly	-0.381528889
artful	0.254051111
artfully	0.474865556
artificial	-0.285664444
artificially	-0.196416667
artist	0.066666667
artistic	0.583685556
artistically	0.396248889
ashamed	-0.586564167
asinine	-0.426695556
ask	0.002446593
aspersion	-0.205741111
aspiration	0.284097778
aspire	0.283087778
ass	-0.453915556
assassinate	-0.497978889
assassination	-0.574081667
assault	-0.617055556
assertive	0.11377
asset	0.559796667
asshole	-0.700496667
assist	0.066666667
assistance	0.236164444
asthmatic	-0.177777778
astonishing	0.562782222
astonishingly	0.218471111
astound	0.314596667
astounding	0.482941667
astoundingly	0.4
astray	-0.288888889
astute	0.520552222
atrocious	-0.825236667
atrociously	-0.658532222
atrocity	-0.656835556
atrophy	-0.311111111
attack	-0.028538683
attain	0.129006667
attempt	-0.066666667
attentive	0.462465556
attentively	0.303864444
attract	0.22743
attraction	0.501716667
attractive	0.600302222
attractively	0.548308889
attune	0.177777778
audacious	0.096525556
audacity	-0.241244444
augment	0.066666667
auspicious	0.342528889
austere	-0.005194444
authentic	0.429255556
authentically	0.355555556
authenticity	0.290536667
authoritarian	-0.377777778
authority	0.057823333
automatic	0.066666667
automatically	0.130763333
auxiliary	0.066666667
available	0.35236
average	-0.044444444
aversion	-0.457185556
avert	-0.15
avid	0.326423333
avidly	0.408198889
avoid	-0.154783333
avoidance	-0.205866667
await	-0.041836667
award	0.556981667
away	0.008999655
awe	0.576805556
awesome	0.88005
awestruck	0.577888889
awful	-0.82135
awfully	-0.776536667
awkward	-0.456920833
awkwardly	-0.203751111
awkwardness	-0.337131111
awry	-0.300367778
axe	-0.177777778
babble	-0.266891111
back	0.012555711
backing	0.133333333
backwardness	-0.377181111
bad	-0.023510682
badger	-0.244444444
badly	-0.555514167
baffle	-0.311111111
bafflement	-0.405594444
balance	0.066666667
balk	-0.244444444
balky	-0.450038889
bamboozle	-0.171997778
ban	-0.244444444
banal	-0.583372222
banality	-0.270417778
bandit	-0.177777778
bandwagon	-0.133333333
bane	-0.523002222
bang-up	0.392321111
banish	-0.233333333
bankrupt	-0.466666667
barbarian	-0.432175556
barbaric	-0.565518889
barbarity	-0.558085556
barbarous	-0.497202222
bare	-0.066666667
barely	-0.044645737
bargain	0.366666667
barge	-0.177777778
barren	-0.460105556
barrier	-0.2
baseless	-0.358071111
bash	-0.338327778
basically	0.002057562
bastard	-0.74265
bastardize	-0.422222222
battle	-0.1
be	0.025817259
beacon	0.066666667
bearable	-0.00701
beast	-0.225407778
beastly	-0.473515556
beat	-0.133333333
beaten	-0.267174444
beatific	0.396342222
beating	-0.296548889
beauteous	0.529582222
beautiful	0.670044167
beautifully	0.561231667
beautify	0.445305833
beauty	0.719225556
become	-0.000789007
bed	-0.013672924
beefy	-0.066666667
befit	0.126086667
before	0.033023796
befoul	-0.422222222
befriend	0.177777778
befuddle	-0.244394444
beggar	-0.244444444
behead	-0.422222222
behind	-0.02977708
belabor	-0.182927778
belch	-0.177777778
beleaguer	-0.298755556
belie	-0.244444444
believable	0.331611111
believe	0.014265148
belittle	-0.486333333
bellicose	-0.238664444
belligerence	-0.424778889
belligerent	-0.488888889
beloved	0.656541667
bemoan	-0.374194444
beneficial	0.411708889
benefit	0.416666667
benevolence	0.382018889
benevolent	0.566002222
benevolently	0.548308889
benign	0.342698889
benignly	0.329582222
bereave	-0.358071111
berserk	-0.456585556
besmirch	-0.333265556
best	0.034950732
best-selling	0.462915556
bestow	0.267076667
betray	-0.661071667
betrayal	-0.698186667
better	0.017545669
beware	-0.386887778
bewilder	-0.343467778
bewildered	-0.289761111
bewilderment	-0.405594444
bias	-0.233333333
big	0.031891837
bimbo	-0.355555556
bit	0.034099865
bitch	-0.639921111
bitchy	-0.580305556
bite	-0.241753333
bitter	-0.366666667
bitterly	-0.444439167
bitterness	-0.504362222
bittersweet	-0.177777778
bizarre	-0.368623333
blab	-0.177777778
blabbermouth	-0.474678889
blacken	-0.177777778
blackmail	-0.422222222
blah	-0.244444444
blame	-0.441949167
blameless	0.333205556
blameworthy	-0.487502222
bland	-0.352401111
blandly	-0.191801111
blank	-0.177777778
blankly	-0.137084444
blaspheme	-0.381402222
blasphemous	-0.645978889
blast	-0.232063333
blatant	-0.412257778
blatantly	-0.270417778
bleak	-0.515495556
bleakly	-0.488292222
bleakness	-0.355555556
blemish	-0.334184444
bless	0.523662222
blessing	0.560069167
blind	-0.443506667
blindly	-0.410834444
bliss	0.771495
blissful	0.689069167
blissfully	0.541532222
blithe	0.215847778
block	-0.257345833
blockbuster	0.29383
bloodshed	-0.488855556
bloody	-0.416666667
bloom	0.288888889
bluff	-0.195751111
blunder	-0.426448889
blunt	-0.187891111
bluntly	-0.125134444
blur	-0.231224444
blurry	-0.331694444
boast	0.022222222
boastful	-0.366219167
boastfully	-0.354958889
body	-0.00674944
bogus	-0.539532222
boisterous	0.00526
bold	0.333333333
boldly	0.456149167
boldness	0.28227
bolster	0.244444444
bolt	-0.14669
bomb	-0.484828889
bombard	-0.311111111
bombardment	-0.288888889
bondage	-0.327125556
bonus	0.605928889
boom	0.344055556
boost	0.233333333
booze	-0.133333333
borderline	-0.177777778
bore	-0.332045833
bored	-0.518466667
boredom	-0.482901111
boring	-0.466666667
bother	-0.311053333
bothersome	-0.501886667
bouncy	0.209266667
bounty	0.365495556
bout	-0.157123333
boycott	-0.355555556
brag	-0.355555556
brain	-0.036275395
brainless	-0.535915556
brainwash	-0.473504444
brainwashing	-0.422222222
brand-new	0.430421111
brandish	-0.066666667
brash	-0.308144444
brashly	-0.191801111
brassy	-0.254533333
brat	-0.533108889
bravado	-0.113374444
brave	0.356484167
bravely	0.414975556
bravery	0.611165556
brawl	-0.355555556
brazen	-0.422125556
brazenly	-0.216464444
breach	-0.177777778
break	-0.002167568
breakthrough	0.502101667
breakup	-0.288888889
breathless	0.126566667
breathlessly	0.11931
breathtaking	0.862535
bribe	-0.416666667
brief	-0.066666667
briefly	-0.066666667
bright	0.470096667
brightly	0.339371111
brightness	0.3389775
brilliance	0.776136667
brilliant	0.861645
brilliantly	0.610283333
bring	0.002446593
brisk	0.308114444
bristle	-0.244444444
brittle	-0.311111111
broke	-0.030461714
broken	-0.024927385
brood	-0.177777778
brother	-0.009212137
brotherhood	0.183076667
browbeat	-0.369922222
bruise	-0.321051111
brusque	-0.200897778
brutal	-0.732595556
brutality	-0.647578889
brutalize	-0.515768889
brutally	-0.502912222
brute	-0.403078889
brutish	-0.591125556
bubbly	0.401204444
buddy	0.25553
buff	0.2
bug	-0.308657778
buggy	-0.311111111
built-in	0.133333333
bulky	-0.244444444
bullshit	-0.670139167
bully	-0.473284167
bum	-0.389222222
bummer	-0.520026667
bump	-0.066666667
bumpy	-0.254091111
bungle	-0.330881111
buoyant	0.375108889
burden	-0.08351708
burdensome	-0.413312222
bureaucracy	-0.229986667
businesslike	-0.094056667
busy	-0.044393333
butcher	-0.377777778
butchery	-0.315831111
buzz	0.05998
byzantine	-0.244444444
calamity	-0.579028889
call	-0.02057727
calm	0.441486667
calmly	0.296957778
came	0.029673261
campy	-0.233277778
cancel	-0.1
cancellation	-0.066666667
cancer	-0.561406667
cancerous	-0.526718889
candor	0.467528889
canned	-0.2
cannibal	-0.6
cannibalize	-0.500117778
cannot	-0.030768563
cant	-0.041796018
capability	0.370944444
capable	0.454519167
capably	0.414975556
capacious	0.244444444
capitalize	0.149323333
capricious	-0.244667778
capriciously	-0.252831111
capriciousness	-0.134611111
capsize	-0.311111111
captive	-0.191157778
capture	0.066666667
car	0.006618352
care	0.016785748
careen	-0.226656667
career	0.014894008
carefree	0.493875556
careful	0.393464167
carefully	0.299619167
careless	-0.398316667
carelessly	-0.367818889
carelessness	-0.468448889
caress	0.405111111
caricature	-0.177777778
carnage	-0.483462222
carp	-0.177777778
casual	0.13741
casually	0.01783
casualty	-0.477056667
cataclysm	-0.523725556
catastrophe	-0.701309167
catastrophic	-0.89548
catatonic	-0.521638889
catch	-0.015663333
catchy	0.366275556
cathartic	0.254297778
cause	-0.029620427
caustic	-0.311111111
cautious	-0.03332
cautiously	-0.075053333
cavernous	0.14336
celebrate	0.503830833
celebrated	0.469868889
celestial	0.321501111
censor	-0.244444444
central	0.177777778
centrally	0.066666667
ceremonial	0.066666667
ceremonially	0.119853333
certain	0.254277778
chafe	-0.285977778
chagrin	-0.339298333
challenge	-0.1
challenging	0.062832222
champion	0.533333333
chance	0.009269752
change	-0.005850429
chaos	-0.507444167
chaotic	-0.308048333
charisma	0.551482222
charismatic	0.590815556
charitable	0.480995556
charitably	0.341532222
charity	0.410374444
charm	0.466955833
charming	0.640994167
charmingly	0.548308889
chastise	-0.471756667
cheap	-0.162171111
cheapen	-0.264811111
cheaply	0.1259
cheat	-0.481824167
cheater	-0.416666667
cheek	-0.133333333
cheekily	0.030421111
cheeky	-0.151696667
cheer	0.358120833
cheerful	0.592384167
cheerfully	0.481642222
cheerfulness	0.256152222
cheerily	0.237197778
cheerless	-0.450249167
cheery	0.424193333
cheesy	-0.263897778
cherish	0.333333333
cherubic	0.450202222
chic	0.444999167
chide	-0.317897778
child	5.75E-05
childhood	-0.012738247
childish	-0.325890833
childlike	0.020026667
chilly	-0.066666667
chintzy	-0.396291111
chivalrous	0.309008889
chivalrously	0.408198889
chivalry	0.502448889
choke	-0.283333333
choppy	-0.243847778
chore	-0.311111111
chronic	-0.525325556
chronically	-0.311111111
chubby	-0.190333333
chum	0.099133333
chummy	0.151553333
chunky	-0.133333333
cinch	0.090343333
civil	0.237784444
civility	0.302627778
civilized	0.411932222
clamor	-0.244444444
clarity	0.457361667
clash	-0.283333333
class	0.002866439
classic	0.405394444
classical	0.202396667
classically	0.177777778
classy	0.579201667
claustrophobia	-0.363944444
clean	0.316666667
cleaner	0.133333333
cleanliness	0.361761111
cleanly	0.409522222
cleanse	0.334081111
clear	0.374259167
clear-cut	0.311111111
clearly	0.337075556
clearness	0.338662222
clever	0.573966667
cleverly	0.481642222
cliche	-0.203751111
cliched	-0.535848889
climactic	0.149961111
clinical	-0.066666667
clinically	-0.007246667
clique	-0.244444444
clog	-0.177777778
clone	-0.066666667
close	0.017388739
closeness	0.219216667
cloudless	0.126086667
cloudy	-0.071106667
clout	0.066666667
clueless	-0.374170833
clumsily	-0.191801111
clumsiness	-0.335987778
clumsy	-0.322067778
coarse	-0.404645556
coarsely	-0.355555556
cock	-0.333333333
cockiness	-0.384564444
cocksucker	-0.730828889
cocky	-0.463584167
coddle	-0.070286667
coerce	-0.482208889
coercion	-0.355555556
coercive	-0.302912222
cogent	0.355555556
cognizant	0.20578
coherence	0.12155
coherent	0.423198889
coherently	0.396248889
cohesion	0.133333333
cold	-0.228577778
coldly	-0.288888889
collaborate	0.221796667
collaboration	0.133333333
collapse	-0.385400833
collectible	0.060603333
college	-0.009729265
collide	-0.209465
collision	-0.365595833
collusion	-0.355555556
colorful	0.445757778
combat	-0.1
come	0.008368254
comedy	0.1
comely	0.480415556
comfort	0.365158333
comfortable	0.522341667
comfortably	0.305538889
comforting	0.555958889
comic	0.066666667
comical	0.323547778
comically	0.272424444
coming	0.007519719
commemorate	0.133333333
commemoration	0.19959
commend	0.532816667
commendable	0.562828889
commendation	0.521925556
commensurate	0.066666667
commercial	-0.066666667
commercially	-0.025973333
commiserate	-0.042588889
commiseration	-0.364247778
commit	0.137243333
commitment	0.363685833
commonplace	-0.0951
commotion	-0.313147778
commune	0.066666667
communicate	0.176343333
community	0.066666667
compact	0.177777778
compactly	0.177777778
companion	0.066666667
companionship	0.066666667
comparable	0.212291111
comparably	0.066666667
compassion	0.607765556
compassionate	0.602711667
compatible	0.286584444
compel	-0.177777778
compelling	0.561845556
compensate	0.193133333
compensation	0.208023333
competence	0.22413
competent	0.432209167
competently	0.414975556
competitive	0.254685833
competitively	0.066666667
complacent	-0.397632222
complain	-0.485109167
complaint	-0.514755556
complement	0.177777778
complementary	0.066666667
complete	0.403955556
completely	-0.007898234
complex	-0.066666667
complexity	-0.03647
complicate	-0.329111111
complicated	-0.274734444
complication	-0.405807778
compliment	0.423441111
complimentary	0.515138889
composure	0.126086667
comprehensible	0.272424444
comprehensive	0.333333333
compromise	-0.044444444
compulsion	-0.447802222
compulsive	-0.177777778
compulsively	-0.125134444
conceal	-0.341264444
conceit	-0.474555556
conceited	-0.622782222
concern	-0.075483333
conciliate	0.358344444
concise	0.276034444
concoct	-0.066666667
concoction	-0.074336667
concrete	0.177777778
condemn	-0.572009167
condemnation	-0.527481667
condescending	-0.458078889
condescension	-0.444405556
condone	0.066666667
conducive	0.281504444
confidence	0.479724167
confident	0.529551667
confidently	0.396248889
confine	-0.403981111
conflict	-0.398323333
conform	-0.066666667
conformist	-0.185024444
conformity	-0.05678
confound	-0.422167778
confront	-0.194597778
confrontation	-0.503682222
confuse	-0.307333333
confused	-0.395041111
confusing	-0.485979167
confusion	-0.334427778
congenial	0.409015556
congestion	-0.403961111
congratulate	0.364715833
congratulation	0.511041667
congratulations	0.652646667
conquer	0.189321111
conquest	0.217963333
conscience	0.208326667
conscientious	0.277701111
conscious	0.12478
consciously	0.066666667
consent	0.15
consequence	-0.217786667
conservative	-0.109166667
considerate	0.600138889
consistency	0.429938889
consistent	0.460985556
consistently	0.408198889
conspiracy	-0.416666667
conspire	-0.355555556
constancy	0.369235556
constant	-0.028893013
constantly	-0.041109475
consternation	-0.319064444
constrain	-0.133333333
consummate	0.568538889
contagion	-0.539252222
contagious	-0.454968889
contaminate	-0.311111111
contamination	-0.355555556
contemporary	0.066666667
contempt	-0.535059167
contemptible	-0.629008889
contemptuous	-0.513979167
contemptuously	-0.362331667
contend	-0.177777778
contender	-0.066666667
content	0.288888889
contentious	-0.296135556
contentment	0.492965556
continual	-0.066666667
continue	-0.029000201
continuity	0.244444444
contradict	-0.375437778
contradiction	-0.283664444
contribute	0.433028889
contribution	0.358854444
contrivance	-0.313467778
contrive	-0.133333333
contrived	-0.322052222
control	-0.018341914
controllable	0.272424444
controversial	-0.247815833
controversially	-0.203751111
controversy	-0.391461111
convenience	0.481378889
convenient	0.607138889
conveniently	0.462915556
convention	-0.067026667
conventional	-0.039686667
conventionally	0.00578
conversation	-0.020525948
conviction	0.200555556
convince	0.13251
convincing	0.405908889
convincingly	0.414975556
convivial	0.477108889
convoluted	-0.192144444
cool	0.316666667
coolly	-0.066666667
cooperate	0.244444444
cooperation	0.133333333
coordinate	0.133333333
coordination	0.22975
copious	0.280011111
cordial	0.452338889
cordless	0.331886667
cornucopia	0.25988
corny	-0.245037778
corpse	-0.177777778
correct	0.584095556
correction	0.003456667
correctly	0.474865556
corrode	-0.311111111
corrosion	-0.432088889
corrosive	-0.422222222
corrupt	-0.573412222
corruption	-0.581308889
cost	-0.066666667
cost-effective	0.329582222
costliness	-0.193781111
costly	-0.497696667
could	0.004731731
counsel	0.066666667
counterproductive	-0.375325556
country	-0.001903522
couple	0.006250309
courage	0.534626667
courageous	0.565274167
courageously	0.481642222
course	0.027656096
courteous	0.537901667
courteously	0.462915556
courtesy	0.433711667
courtly	0.297087778
covet	-0.291441111
coward	-0.567806667
cowardly	-0.520102222
coziness	0.396248889
cozy	0.422222222
crack	-0.249993333
cram	-0.311111111
cramp	-0.316940833
cramped	-0.355555556
cranky	-0.495051111
crap	-0.433333333
crappy	-0.699505556
crash	-0.283333333
crass	-0.535158889
crave	-0.03707
craziness	-0.285524444
crazy	-0.232730833
creaky	-0.307361111
create	0.379546667
creative	0.536331667
creatively	0.462915556
creativity	0.666998889
credential	0.10736
credibility	0.286086667
credible	0.454465556
credibly	0.288888889
credit	0.0671
credulity	-0.118357778
creepiness	-0.177777778
creepy	-0.526534444
crestfallen	-0.264811111
crime	-0.613909167
criminal	-0.695806667
criminally	-0.437155556
cringe	-0.380124444
cripple	-0.572735556
crisis	-0.645659167
crisp	0.244444444
crisply	0.126086667
critic	-0.24572
critical	-0.316657778
criticism	-0.387914167
criticize	-0.522691667
critique	-0.133333333
croak	-0.177777778
crony	-0.203751111
crook	-0.288888889
crooked	-0.426858889
crookedly	-0.137084444
cross	-0.244444444
crotch	-0.066666667
crud	-0.441127778
crude	-0.244444444
crudely	-0.187891111
cruel	-0.657559167
cruelly	-0.478972222
cruelty	-0.579966667
crummy	-0.485777778
crusade	0.066666667
crush	-0.249298333
crushing	-0.266666667
cry	-0.017903301
crying	-0.244444444
cryptic	-0.159513333
cryptically	-0.125134444
culminate	0.266666667
culmination	0.266666667
culprit	-0.355555556
cultivate	0.193256667
culture	0.066666667
cumbersome	-0.361287778
cunt	-0.79181
curious	0.190463333
curmudgeon	-0.421625556
currently	0.022160021
curse	-0.484861667
cursed	-0.493308889
cursory	-0.264913333
curt	-0.247101111
curtail	-0.184564444
curtly	-0.137084444
cuss	-0.177777778
customary	0.066796667
cut	-0.017365969
cut-rate	0.112966667
cute	0.565681667
cutely	0.481642222
cutthroat	-0.355555556
cutting	-0.02393
cynic	-0.371994444
cynical	-0.532354167
cynically	-0.258467778
cynicism	-0.418813333
dad	-0.025603155
dainty	0.177777778
damage	-0.538551667
damages	-0.448878889
damn	-0.607261667
damned	-0.6
dandy	0.311111111
danger	-0.503046667
dangerous	-0.627312222
dangerously	-0.329847778
daredevil	0.14225
daring	0.422438889
dark	-0.032385629
darkly	-0.142211111
darkness	-0.10804
darn	-0.133333333
dashing	0.548838889
dated	-0.272261111
daunt	-0.207447778
daunting	-0.302201111
dauntless	0.408198889
dawdle	-0.177777778
day	0.012879179
dazzle	0.311111111
dazzling	0.688665556
dead	-0.049151499
deadlock	-0.354195833
deadly	-0.652963333
deafen	-0.071386667
deafening	-0.303311111
deal	-0.004973101
dealing	-0.033235172
dear	0.443051667
dearly	0.584876667
dearth	-0.325341111
death	-0.027725396
debacle	-0.556202222
debase	-0.459428889
debatable	-0.131797778
debauchery	-0.486792222
debonair	0.335594444
debt	-0.133333333
decadence	-0.219441111
decadent	0.222222222
decay	-0.456391111
deceit	-0.549446667
deceitful	-0.517404167
deceive	-0.553331667
deceiver	-0.355555556
decency	0.278657778
decent	0.276617778
decently	0.341532222
deception	-0.591486667
decided	0.038491095
decisive	0.385719167
decisively	0.244444444
decorative	0.353983333
decrease	-0.066666667
decrepit	-0.575452222
dedicate	0.246643333
dedicated	0.397186667
dedication	0.633638889
deep	0.00704505
defamation	-0.512598889
defame	-0.371558889
default	-0.177777778
defeat	-0.244444444
defect	-0.459475833
defective	-0.540818889
defender	0.244444444
defenseless	-0.355555556
defensive	-0.177777778
defer	-0.099266667
defiant	-0.343745833
defiantly	-0.137084444
deficiency	-0.441477778
deficient	-0.425261111
deficit	-0.233333333
defile	-0.555555556
deflate	-0.163217778
deform	-0.195251111
deformed	-0.579128889
deft	0.376635556
deftly	0.478775556
defunct	-0.280754444
degenerate	-0.418477778
degeneration	-0.366094444
degradation	-0.517395556
degrade	-0.569484167
degrading	-0.459642222
dehumanization	-0.422222222
dehumanize	-0.337445556
dejected	-0.380645833
dejectedly	-0.302912222
dejection	-0.273934444
delay	-0.183333333
delicate	0.354217778
delicately	0.303864444
delicious	0.555555556
deliciously	0.524068889
delight	0.656159167
delighted	0.687524167
delightful	0.736592222
delightfully	0.614975556
delinquency	-0.552982222
delude	-0.393342222
deluge	-0.256057778
delusion	-0.498642222
deluxe	0.714868889
demand	-0.260037778
demanding	-0.272261111
demean	-0.488292222
dementia	-0.610568889
demise	-0.447072222
demolish	-0.625762222
demon	-0.597755556
demonstration	-0.02752
demoralize	-0.555282222
denial	-0.278691111
denigrate	-0.348908889
denounce	-0.472409167
dense	-0.355297778
densely	-0.257924444
dent	-0.177777778
denunciation	-0.422222222
deny	-0.457832222
dependability	0.339091111
dependable	0.619482222
dependably	0.474865556
dependent	-0.066666667
deplete	-0.244444444
deplorable	-0.652705556
deplore	-0.511525556
depraved	-0.687502222
depravity	-0.597292222
depreciate	-0.226707778
depress	-0.450904444
depressed	-0.010797877
depressing	-0.525989167
depression	-0.003750666
depressive	0.027615835
deprive	-0.368334444
deprived	-0.441992222
depth	0.19038
derail	-0.244444444
deranged	-0.669182222
deride	-0.416219167
derision	-0.419224167
derivative	-0.159673333
derogatory	-0.546348889
desecrate	-0.601212222
deserve	0.0549129
deservedly	0.288888889
deserving	0.556175556
desirable	0.588074167
desire	0.23703
desirous	0.303864444
desolate	-0.465484444
desolation	-0.578998889
despair	-0.466666667
desperate	-0.434423333
desperately	-0.429434167
desperation	-0.503544444
despicable	-0.726318889
despise	-0.714245556
despoil	-0.429882222
despondency	-0.399564444
despondent	-0.394201111
despot	-0.375922222
despotic	-0.447072222
despotism	-0.395085556
destitute	-0.730475556
destitution	-0.602515556
destroy	-0.602141667
destroyer	-0.244444444
destruction	-0.416666667
destructive	-0.586614167
desultory	-0.238664444
detached	-0.281581111
detachment	-0.11556
detailed	0.280351111
detain	-0.429924444
detention	-0.355555556
deteriorate	-0.550268889
deterioration	-0.468687778
determination	0.514092222
determined	0.350168889
detest	-0.640378889
detestable	-0.709498889
detour	-0.066666667
detract	-0.244444444
detraction	-0.287577778
detriment	-0.467462222
detrimental	-0.495675556
devastate	-0.439991667
devastating	-0.71888
devastation	-0.668002222
deviant	-0.494132222
deviate	-0.175857778
deviation	-0.176637778
devil	-0.177777778
devious	-0.527802222
deviously	-0.381528889
deviousness	-0.311611111
devoid	-0.295684444
devote	0.26009
devoted	0.588895556
devotion	0.495658889
dexterity	0.355555556
dexterous	0.214774444
dextrous	0.325885556
diabolical	-0.621372222
diabolically	-0.583372222
diamond	0.066666667
diatribe	-0.311111111
dick	-0.636335556
dictate	-0.066666667
dictator	-0.311111111
dictatorial	-0.418218889
die	-0.053676857
different	0.014062483
difficult	-0.015339524
difficulty	-0.489942222
diffident	-0.103247778
digital	0.13391
dignified	0.474595556
dignify	0.10676
dignity	0.445331111
dilapidated	-0.516705556
dilemma	-0.235788333
diligence	0.331032222
diligent	0.461848889
diligently	0.414975556
dim	-0.305431111
diminutive	-0.2
dimly	-0.121947778
din	-0.177777778
dingy	-0.432044444
dinky	-0.244444444
dire	-0.6293675
dirt	-0.259433333
dirty	-0.533336667
disabled	-0.352104444
